dte,pc
2020-04-26,0.0054
2020-04-27,0.005
2020-04-28,0.0047
2020-04-29,0.0044
2020-04-30,0.0041
2020-05-01,0.0039
2020-05-02,0.0036
2020-05-03,0.0034
2020-05-04,0.0032
2020-05-05,0.003
2020-05-06,0.0029
2020-05-07,0.0027
2020-05-08,0.0026
2020-05-09,0.0024
2020-05-10,0.0023
2020-05-11,0.0022
2020-05-12,0.002
2020-05-13,0.0019
2020-05-14,0.0018
2020-05-15,0.0017
2020-05-16,0.0017
2020-05-17,0.0016
2020-05-18,0.0015
2020-05-19,0.0014
2020-05-20,0.0013
2020-05-21,0.0013
2020-05-22,0.0012
2020-05-23,0.0012
2020-05-24,0.0011
2020-05-25,0.0011
2020-05-26,0.001
2020-05-27,0.001
2020-05-28,0.0009
2020-05-29,0.0009
2020-05-30,0.0009
2020-05-31,0.0008
2020-06-01,0.0008
2020-06-02,0.0008
2020-06-03,0.0007
2020-06-04,0.0007
2020-06-05,0.0007
2020-06-06,0.0007
2020-06-07,0.0007
2020-06-08,0.0006
2020-06-09,0.0006
2020-06-10,0.0006
2020-06-11,0.0006
2020-06-12,0.0006
2020-06-13,0.0006
2020-06-14,0.0006
2020-06-15,0.0006
2020-06-16,0.0006
2020-06-17,0.0006
2020-06-18,0.0005
2020-06-19,0.0005
2020-06-20,0.0005
2020-06-21,0.0005
2020-06-22,0.0005
2020-06-23,0.0005
2020-06-24,0.0005
2020-06-25,0.0005
2020-06-26,0.0005
2020-06-27,0.0005
2020-06-28,0.0005
2020-06-29,0.0005
2020-06-30,0.0005
2020-07-01,0.0005
2020-07-02,0.0005
2020-07-03,0.0005
2020-07-04,0.0005
2020-07-05,0.0005
2020-07-06,0.0005
2020-07-07,0.0005
2020-07-08,0.0005
2020-07-09,0.0005
2020-07-10,0.0005
2020-07-11,0.0005
2020-07-12,0.0005
2020-07-13,0.0005
2020-07-14,0.0005
2020-07-15,0.0005
2020-07-16,0.0005
2020-07-17,0.0005
2020-07-18,0.0005
2020-07-19,0.0005
2020-07-20,0.0005
2020-07-21,0.0005
2020-07-22,0.0005
2020-07-23,0.0005
2020-07-24,0.0005
2020-07-25,0.0005
2020-07-26,0.0005
2020-07-27,0.0005
2020-07-28,0.0005
2020-07-29,0.0005
2020-07-30,0.0005
2020-07-31,0.0005
2020-08-01,0.0005
2020-08-02,0.0005
2020-08-03,0.0005
2020-08-04,0.0005
2020-08-05,0.0005
2020-08-06,0.0005
2020-08-07,0.0005
2020-08-08,0.0005
2020-08-09,0.0005
2020-08-10,0.0005
2020-08-11,0.0005
2020-08-12,0.0005
2020-08-13,0.0005
2020-08-14,0.0005
2020-08-15,0.0005
2020-08-16,0.0005
2020-08-17,0.0005
2020-08-18,0.0005
2020-08-19,0.0006
2020-08-20,0.0006
2020-08-21,0.0009
2020-08-22,0.0008
2020-08-23,0.0008
2020-08-24,0.0008
2020-08-25,0.0009
2020-08-26,0.0009
2020-08-27,0.0009
2020-08-28,0.0008
2020-08-29,0.0008
2020-08-30,0.0008
2020-08-31,0.0009
2020-09-01,0.0009
2020-09-02,0.001
2020-09-03,0.001
2020-09-04,0.0011
2020-09-05,0.0012
2020-09-06,0.0013
2020-09-07,0.0013
2020-09-08,0.0013
2020-09-09,0.0014
2020-09-10,0.0015
2020-09-11,0.0015
2020-09-12,0.0017
2020-09-13,0.0018
2020-09-14,0.0018
2020-09-15,0.0019
2020-09-16,0.002
2020-09-17,0.0021
2020-09-18,0.0022
2020-09-19,0.0023
2020-09-20,0.0025
2020-09-21,0.0026
2020-09-22,0.0028
2020-09-23,0.0029
2020-09-24,0.0031
2020-09-25,0.0033
2020-09-26,0.0036
2020-09-27,0.0038
2020-09-28,0.004
2020-09-29,0.0043
2020-09-30,0.0046
2020-10-01,0.0049
2020-10-02,0.0051
2020-10-03,0.0054
2020-10-04,0.0055
2020-10-05,0.0057
2020-10-06,0.0059
2020-10-07,0.0061
2020-10-08,0.0064
2020-10-09,0.0067
2020-10-10,0.0069
2020-10-11,0.0073
2020-10-12,0.0076
2020-10-13,0.0079
2020-10-14,0.0082
2020-10-15,0.0085
2020-10-16,0.0088
2020-10-17,0.0091
2020-10-18,0.0094
2020-10-19,0.0097
2020-10-20,0.01
2020-10-21,0.0103
2020-10-22,0.0106
2020-10-23,0.0108
2020-10-24,0.011
2020-10-25,0.011
2020-10-26,0.0111
2020-10-27,0.0112
2020-10-28,0.0112
2020-10-29,0.0113
2020-10-30,0.0114
2020-10-31,0.0115
2020-11-01,0.0116
2020-11-02,0.0117
2020-11-03,0.0119
2020-11-04,0.012
2020-11-05,0.0122
2020-11-06,0.0123
2020-11-07,0.0124
2020-11-08,0.0125
2020-11-09,0.0126
2020-11-10,0.0127
2020-11-11,0.0127
2020-11-12,0.0127
2020-11-13,0.0126
2020-11-14,0.0125
2020-11-15,0.0123
2020-11-16,0.0121
2020-11-17,0.0118
2020-11-18,0.0116
2020-11-19,0.0113
2020-11-20,0.011
2020-11-21,0.0107
2020-11-22,0.0106
2020-11-23,0.0102
2020-11-24,0.0099
2020-11-25,0.0097
2020-11-26,0.0096
2020-11-27,0.0095
2020-11-28,0.0094
2020-11-29,0.0094
2020-11-30,0.0094
2020-12-01,0.0095
2020-12-02,0.0095
2020-12-03,0.0096
2020-12-04,0.0097
2020-12-05,0.0097
2020-12-06,0.0098
2020-12-07,0.0099
2020-12-08,0.0099
2020-12-09,0.01
2020-12-10,0.0101
2020-12-11,0.0102
2020-12-12,0.0103
2020-12-13,0.0107
2020-12-14,0.011
2020-12-15,0.0113
2020-12-16,0.0117
2020-12-17,0.0123
2020-12-18,0.013
2020-12-19,0.0138
2020-12-20,0.0147479095592541
2020-12-21,0.0157006752428896
2020-12-22,0.0166519791922637
2020-12-23,0.0175792069743742
2020-12-24,0.0184591217253178
2020-12-25,0.0192696379998081
2020-12-26,0.0199914576741617
2020-12-27,0.0204438223027722
2020-12-28,0.0209940872894384
2020-12-29,0.0214170446497633
2020-12-30,0.0216960694987153
2020-12-31,0.021827062427859
2021-01-01,0.0218185958338659
2021-01-02,0.0206766347525177
2021-01-03,0.0204946130534611
2021-01-04,0.020338028667039
2021-01-05,0.0202032412589033
2021-01-06,0.0200869695605147
2021-01-07,0.0199859655028792
2021-01-08,0.0198965524740556
2021-01-09,0.0196931905644931
2021-01-10,0.0195658333780332
2021-01-11,0.0194403497477901
2021-01-12,0.019313690291619
2021-01-13,0.0191833496322682
2021-01-14,0.0190470538958587
2021-01-15,0.0189023857317394
2021-01-16,0.0187465105379286
2021-01-17,0.018960357085604
2021-01-18,0.0187458117683121
2021-01-19,0.0184877961237712
2021-01-20,0.0181875436507072
2021-01-21,0.0178494403447425
2021-01-22,0.0174797487431705
2021-01-23,0.0170851838674879
2021-01-24,0.0164175468038533
2021-01-25,0.0160253732956128
2021-01-26,0.015623599883189
2021-01-27,0.0152090477774611
2021-01-28,0.0147805493577926
2021-01-29,0.0143385112383772
2021-01-30,0.0138843884444457
2021-01-31,0.0136587754433049
2021-02-01,0.0132167229687945
2021-02-02,0.0127335792780154
2021-02-03,0.0122171130986523
2021-02-04,0.0116786384354961
2021-02-05,0.0111309980445751
2021-02-06,0.0105865825824712
2021-02-07,0.0100537686538892
2021-02-08,0.00955262602555196
2021-02-09,0.00908332286633904
2021-02-10,0.00864428247081897
2021-02-11,0.00823424785121325
2021-02-12,0.00785170297141075
2021-02-13,0.00749445695928946
2021-02-14,0.00743716684189322
2021-02-15,0.00713753755340476
2021-02-16,0.0068277387363709
2021-02-17,0.00651068196339401
2021-02-18,0.00619127863930349
2021-02-19,0.00587544892286784
2021-02-20,0.00556913215061333
2021-02-21,0.00528903010853418
2021-02-22,0.00503298696092819
2021-02-23,0.00479432080417891
2021-02-24,0.00457323052009041
2021-02-25,0.00437032154077372
2021-02-26,0.00418622292521034
2021-02-27,0.00402125331765852
2021-02-28,0.00400955529854779
2021-03-01,0.00391934885593908
2021-03-02,0.00382898006613026
2021-03-03,0.00373852431374072
2021-03-04,0.00364880829976742
2021-03-05,0.00356114463247087
2021-03-06,0.00349597809906492
2021-03-07,0.00345353040162211
2021-03-08,0.00340739579856826
2021-03-09,0.00335806500001758
2021-03-10,0.00330677262758618
2021-03-11,0.00325522350078661
2021-03-12,0.00320526837903182
2021-03-13,0.00315860506381612
2021-03-14,0.00311392030128796
2021-03-15,0.00313681521269412
2021-03-16,0.0031514835713124
2021-03-17,0.00315684285666983
2021-03-18,0.00315277847635497
